Year,Month,Rainfall
1983,Dec,2.8
1984,Jan,0.6
1984,Feb,11.2
1984,Mar,3.7
1984,Apr,4.6
1984,May,0.6
1984,Jun,109.6
1984,Jul,260.8
1984,Aug,140
1984,Sep,133.2
1984,Oct,109.1
1984,Nov,4.7
1984,Dec,1.7
1985,Jan,2.6
1985,Feb,0.2
1985,Mar,2.3
1985,Apr,9.1
1985,May,12.3
1985,Jun,118.7
1985,Jul,189.5
1985,Aug,145.1
1985,Sep,63.5
1985,Oct,107.3
1985,Nov,5.4
1985,Dec,0
1986,Jan,1.6
1986,Feb,2.7
1986,Mar,0.3
1986,Apr,2.4
1986,May,8.6
1986,Jun,200.8
1986,Jul,126.1
1986,Aug,157.9
1986,Sep,101
1986,Oct,8.9
1986,Nov,19.4
1986,Dec,14.6
1987,Jan,1.7
1987,Feb,3.9
1987,Mar,2.5
1987,Apr,4
1987,May,36.6
1987,Jun,130.3
1987,Jul,166.7
1987,Aug,226.9
1987,Sep,63.5
1987,Oct,98.8
1987,Nov,38
1987,Dec,34.6
1988,Jan,0
1988,Feb,0.1
1988,Mar,0.1
1988,Apr,18.8
1988,May,7.6
1988,Jun,111
1988,Jul,314.1
1988,Aug,165.7
1988,Sep,324.8
1988,Oct,27.5
1988,Nov,1.9
1988,Dec,4.9
1989,Jan,0
1989,Feb,0
1989,Mar,16.3
1989,Apr,3.3
1989,May,11.8
1989,Jun,153.5
1989,Jul,271.9
1989,Aug,152.1
1989,Sep,181.6
1989,Oct,22.9
1989,Nov,1.4
1989,Dec,1.7
1990,Jan,2.6
1990,Feb,0.2
1990,Mar,0
1990,Apr,0.2
1990,May,78.2
1990,Jun,150.5
1990,Jul,227.3
1990,Aug,294.6
1990,Sep,94.9
1990,Oct,154.9
1990,Nov,17.2
1990,Dec,1.9
1991,Jan,0
1991,Feb,0.1
1991,Mar,0.3
1991,Apr,12.2
1991,May,19.2
1991,Jun,293.8
1991,Jul,318.1
1991,Aug,143.9
1991,Sep,67.3
1991,Oct,21
1991,Nov,4.7
1991,Dec,0.1
1992,Jan,0
1992,Feb,0
1992,Mar,0
1992,Apr,2.1
1992,May,5.1
1992,Jun,146.9
1992,Jul,190.6
1992,Aug,248.6
1992,Sep,132.1
1992,Oct,55.6
1992,Nov,10.1
1992,Dec,0
1993,Jan,0
1993,Feb,0.1
1993,Mar,3
1993,Apr,5.7
1993,May,11.5
1993,Jun,147.6
1993,Jul,289.2
1993,Aug,162.4
1993,Sep,162.6
1993,Oct,192.8
1993,Nov,10.7
1993,Dec,34.3
1994,Jan,3.1
1994,Feb,0.1
